gender,broadcaster,AdRecall,BrandRecall,BrandLinkage,MessageRecall,MessageLinkage,HighlyLikeable,Likeable,Unlikeable,Neutral
F,CBS,1.0,1.0,1.0,1.0,1.0,0.0,0.0,1.0,0.0
M,CNN,1.0,1.0,1.0,0.0,0.0,0.0,1.0,0.0,0.0
M,NBC,1.0,1.0,1.0,0.49056605,0.49056605,0.49056605,1.0,0.0,0.0
F,DISCOVERY,1.0,1.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0
F,ABC,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,FOX,1.0,1.0,1.0,0.0,0.0,0.0,0.0,1.0,0.0
F,FOX,1.0,0.13793103,0.13793103,0.13793103,1.0,1.0,1.0,0.0,0.0
F,NBC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,ABC,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
M,DISCOVERY,1.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
F,CNN,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
